policy_domain,count
finance_taxes,7
economy_labor,7
democracy_media_digit,6
security_armed_forces,6
health,6
society_ethics,5
energy_transportation,5
education,3
migration_integration,3
foreign_relations,3
welfare_state_family,2
environ_protection,1
