policy_domain,count
finance_taxes,9
democracy_media_digit,7
security_armed_forces,7
economy_labor,5
education,5
society_ethics,5
welfare_state_family,4
health,4
environ_protection,4
energy_transportation,4
foreign_relations,3
migration_integration,1
