policy_domain,count
economy_labor,5
education,4
foreign_relations,4
society_ethics,3
energy_transportation,2
health,2
migration_integration,1
welfare_state_family,1
democracy_media_digit,1
environ_protection,1
finance_taxes,1
security_armed_forces,1
