policy_domain,count
society_ethics,16
welfare_state_family,13
foreign_relations,12
finance_taxes,12
economy_labor,12
democracy_media_digit,11
energy_transportation,11
security_armed_forces,10
education,8
health,7
migration_integration,5
environ_protection,5
